,detection_strategy,detection_feature,detection_results,ground_truth,f1,delay,log_path,tipo_mudanca,log_size,window_size_mode,window_size,window_ref_mode,overlap,sliding_step,margin_error,margin_error_corrected
60,time_series_strategy,cpd_frequency_delta3,"[26, 62, 95, 130, 165, 201, 238, 269, 308, 330]","[15, 50, 85, 120, 155, 190, 225, 260, 295, 330]",1.0,11.0,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\sw\sw7.5k.MXML,sw,7500,Fixed,4000,Fixed,True,200,3,24
61,time_series_strategy,cpd_prob_freq_delta3,"[30, 58, 99, 127, 170, 197, 240, 267, 309, 330]","[15, 50, 85, 120, 155, 190, 225, 260, 295, 330]",1.0,11.33,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\sw\sw7.5k.MXML,sw,7500,Fixed,4000,Fixed,True,200,3,24
62,time_series_strategy,cpd_cramersv_frequency,"[24, 63, 95, 131, 165, 202, 235, 272, 306, 330]","[15, 50, 85, 120, 155, 190, 225, 260, 295, 330]",1.0,10.89,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\sw\sw7.5k.MXML,sw,7500,Fixed,4000,Fixed,True,200,3,24
63,threshold_strategy,gtest_frequency3,"[16, 69, 86, 138, 156, 209, 226, 278, 297, 330]","[15, 50, 85, 120, 155, 190, 225, 260, 295, 330]",1.0,8.0,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\sw\sw7.5k.MXML,sw,7500,Fixed,4000,Fixed,True,200,3,24
64,threshold_strategy,fixed_frequency_delta_percentage3,"[18, 67, 87, 137, 157, 208, 228, 278, 298, 330]","[15, 50, 85, 120, 155, 190, 225, 260, 295, 330]",1.0,9.0,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\sw\sw7.5k.MXML,sw,7500,Fixed,4000,Fixed,True,200,3,24
65,threshold_strategy,fixed_cramersv_frequency,"[17, 69, 86, 138, 156, 208, 226, 278, 297, 330]","[15, 50, 85, 120, 155, 190, 225, 260, 295, 330]",1.0,8.22,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\sw\sw7.5k.MXML,sw,7500,Fixed,4000,Fixed,True,200,3,24
66,time_series_strategy,cpd_frequency_delta3,"[44, 273, 316, 367, 449]","[42, 87, 133, 177, 224, 268, 314, 358, 405, 449]",0.46,4.5,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\cb\cb10k.mxml,cb,10000,Fixed,1000,Sliding,True,200,3,9
67,time_series_strategy,cpd_prob_freq_delta3,"[180, 261, 307, 316, 395, 449]","[42, 87, 133, 177, 224, 268, 314, 358, 405, 449]",0.43,5.8,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\cb\cb10k.mxml,cb,10000,Fixed,1000,Sliding,True,200,3,9
68,time_series_strategy,cpd_cramersv_frequency,[449],"[42, 87, 133, 177, 224, 268, 314, 358, 405, 449]",0.0,,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\cb\cb10k.mxml,cb,10000,Fixed,1000,Sliding,True,200,3,9
69,threshold_strategy,gtest_frequency3,[449],"[42, 87, 133, 177, 224, 268, 314, 358, 405, 449]",0.0,,../Input/Synthetic/Business Process Drift (Maaradji - Fast)/logs\cb\cb10k.mxml,cb,10000,Fixed,1000,Sliding,True,200,3,9
